INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
385d21a1-1878-426f-b80c-1774e33fb5d7	0.65	PubMed	22030330	Acetylated tau promotes AD related memory loss.	p(PFAM:PF09793)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
4adb0e52-3e97-41c5-bb1c-49f9267878cd	0.88	PubMed	20237556	Tau can be acetylated by the P300 and CBP acetyltransferase, a 300 kDa CREB binding protein at several Lys residues within its flanking region [XREF_BIBR] or repeat domain.	p(HGNC:CREBBP)	directlyIncreases	p(HGNC:MAPT, pmod(Ac, Lys))
4adb0e52-3e97-41c5-bb1c-49f9267878cd	0.88	Other	sparser:Unknown	CBP acetylates tau at several lysine residues within the microtubule binding repeats and the proline-rich region, whereas auto-acetylation occurs preferentially at lysine residues located in the microtubule binding repeats [ xref ].	p(HGNC:CREBBP)	directlyIncreases	p(HGNC:MAPT, pmod(Ac, Lys))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	Other	sparser:Unknown	While the full complement of enzymes controlling tau acetylation is not well-characterized, in vitro and cell-based experiments showed that CREB-binding protein (CBP) or the highly homologous p300 acetylates tau with high affinity in the MTBR xref  xref  xref .	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	Other	sparser:Unknown	Tau can be found in the nucleus [ xref ], raising the possibility that tau is acetylated by p300 in the nucleus.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	Other	sparser:Unknown	Tau is acetylated by p300 [ xref ], and the expression and acetyltransferase activity of p300 is enhanced in AD brains [ xref , xref ].	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	Other	sparser:Unknown	p300 induced tau acetylation both in vitro and in vivo .	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	PubMed	18785580	Exactly how p300 acetylates tau in vivo remains to be determined.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	PubMed	18785580	Acetylation of Tau by p300 Acetyltransferase.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	Other	sparser:Unknown	Since small amount of tau also may be present in the nucleus in some cell types ( xref ), p300 might acetylate tau directly.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	Other	sparser:Unknown	Mass spectrometry detected p300-induced tau acetylation at 23 lysines.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	Other	sparser:Unknown	Recombinant tau acetylated by p300 was incubated with SIRT1 immunoprecipitated from SIRT1-overexpressing HEK293T cells.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	PubMed	20869593	Acetylation of Tau by p300 Acetyltransferase.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	PubMed	20869593	Exactly how p300 acetylates tau in vivo remains to be determined.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	PubMed	20869593	However, p300 could also induce tau acetylation indirectly by unknown mechanisms.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	PubMed	22030330	Tau can be found in the nucleus [XREF_BIBR], raising the possibility that tau is acetylated by p300 in the nucleus.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	PubMed	18785580	However, p300 could also induce tau acetylation indirectly by unknown mechanisms.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	Other	sparser:Unknown	Exactly how p300 acetylates tau in vivo remains to be determined.	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
1e3c10d5-3078-4032-833e-e2abb25b7f06	1.0	PubMed	22030330	Tau is acetylated by p300 [XREF_BIBR], and the expression and acetyltransferase activity of p300 is enhanced in AD brains [XREF_BIBR, XREF_BIBR].	p(HGNC:EP300)	directlyIncreases	p(HGNC:MAPT, pmod(Ac))
