INDRA UUID	Belief	PMID	Evidence	API	Subject	Predicate	Object
c17cf0f8-9c7a-4b61-97a9-72085c3d0999	0.95	10027877	Urocortin (Ucn) is related to corticotropin releasing hormone (CRH), and both are released in the brain under stress where they stimulate CRH 1 and 2 receptors (CRHR).	reach	p(HGNC:CRHR1)	directlyIncreases	act(p(HGNC:CRH))
e01af65d-4f92-4dfd-a277-f64bac48ce4f	0.95	10064781	In situ hybridization histochemistry revealed that ADX increased corticotropin releasing factor (CRF) mRNA levels in the paraventricular nucleus of the hypothalamus (PVN) and proopiomelanocortin (POMC) mRNA levels in the anterior pituitary, in both control and chronically stressed rats as measured on the day following the last exposure to stress.	reach	p(HGNC:FDX1)	directlyIncreases	act(p(HGNC:CRH))
12cd2de6-db47-4293-8154-48ecdbd76a19	0.95	10098506	The hypothalamic neuropeptide CRH has been postulated to inhibit LH secretion by a central action within the brain.	reach	p(HGNC:CRH)	directlyDecreases	act(p(FPLX:LH))
d1e1357a-b711-4951-b4c8-e0e762513749	0.95	10213914	Atropine (ATR) (10 (-7) M) blocked CRH release induced by ACH (10 (-7) M) and the release of CRH induced by IL-2.	reach	p(HGNC:IL2)	directlyIncreases	act(p(HGNC:CRH))
aa86eb3e-2ba0-48fd-8af3-4220132ea42f	0.86	10213914	Atropine (ATR) (10 (-7) M) blocked CRH release induced by ACH (10 (-7) M) and the release of CRH induced by IL-2.	reach	p(HGNC:ATR)	directlyDecreases	act(p(HGNC:CRH))
d1e1357a-b711-4951-b4c8-e0e762513749	0.95	10213914	Furthermore, combined blockade completely blocked the release of CRH induced by IL-2.	reach	p(HGNC:IL2)	directlyIncreases	act(p(HGNC:CRH))
d1e1357a-b711-4951-b4c8-e0e762513749	0.95	10213914	IL-2 (10 (-13) M) stimulation of CRH release was unaffected by the lower concentration of ACH (10 (-9) M), but surprisingly was inhibited by a 100-fold higher concentration.	reach	p(HGNC:IL2)	directlyIncreases	act(p(HGNC:CRH))
aa86eb3e-2ba0-48fd-8af3-4220132ea42f	0.86	10213914	The cholinergic agonist carbachol (CAR) (10 (-7) M) also released CRH and this action was blocked by ATR (10 (-7) M).	reach	p(HGNC:ATR)	directlyDecreases	act(p(HGNC:CRH))
726682bd-7c14-4707-ae9a-02e7a46bce8e	0.95	10213916	Urocortin, a newly isolated 40-amino-acid mammalian peptide homologous to corticotropin releasing hormone (CRH), activates both CRH type 1 and 2 receptors, but may be an endogenous ligand for CRH receptor type 2.	reach	p(HGNC:UCN)	directlyIncreases	act(p(HGNC:CRH))
b03c6e8d-f4df-43f1-b23e-f5d7c61e3b1a	0.95	10225366	Cyclooxygenase inhibition by indomethacin (10 microM) did not modify leptin induced CRH secretion, while leptin stimulated prostaglandin E2, and prostaglandin F2alpha secretion.	reach	p(HGNC:LEP)	directlyDecreases	act(p(HGNC:CRH))
bb272fa1-26a7-4223-bec5-9bab533a9a21	0.95	10225366	We have investigated the role of NO, prostaglandin E2 and prostaglandin F2alpha as mediators of the hypothalamic effects of leptin and their possible involvement in leptin stimulated CRH secretion.	reach	p(HGNC:LEP)	directlyIncreases	act(p(HGNC:CRH))
7db19242-b8fe-4416-a8b3-aac130815ba7	0.95	10320566	In conclusion, in the eel, CRH stimulates GH release directly at the pituitary cell level.	reach	p(HGNC:CRH)	directlyIncreases	act(p(HGNC:GH1))
