INDRA UUID	Confidence	Citation Source	Citation Reference	Evidence	Subject	Predicate	Object
c6e96871-be42-4d22-9827-e4e6edb80adf	1.0	PubMed	18423396	Moreover, expression of p27(kip1), an inhibitor of the cell cycle, was down regulated in an akt1/pkbalpha-specific manner during adipocytedifferentiation.	act(p(HGNC:AKT1), ma(tscript))	directlyDecreases	p(HGNC:CDKN1B)
47a0b838-165c-46d0-9144-376f38f72d90	1.0	PubMed	16331276	We identified a foxa1 binding site within the brca1-responsive element of the p27(kip1) promoter and showed that foxa1 activated the promoter alone and in conjunction with brca1.	act(p(HGNC:BRCA1), ma(tscript))	directlyIncreases	p(HGNC:CDKN1B)
2a94fd76-ac37-4d13-a10c-c45963f51bed	1.0	PubMed	16331276	We identified a foxa1 binding site within the brca1-responsive element of the p27(kip1) promoter and showed that foxa1 activated the promoter alone and in conjunction with brca1.	act(p(HGNC:FOXA1), ma(tscript))	directlyIncreases	p(HGNC:CDKN1B)
677fb28a-ba5c-491d-a27c-f4e76ea23409	1.0	PubMed	10783894	AFX transcriptionally activates p27kip1, resulting in increased protein levels.	act(p(HGNC:FOXO3), ma(tscript))	directlyIncreases	p(HGNC:CDKN1B)
f0adc75b-82cf-453e-913d-b8f180208f29	1.0	PubMed	11313917	P27(kip1) gene is a target of transcriptional repression by c-myc.	act(p(HGNC:MYC), ma(tscript))	directlyDecreases	p(HGNC:CDKN1B)
98b29819-91b3-48f5-afc8-fc5424f2aecc	1.0	PubMed	25684140	15 Here, we identify EMT promoting effects of p27 that are driven by oncogenic PI3K pathway activation.	bp(GO:"GO:0001837")	directlyIncreases	act(p(HGNC:CDKN1B))
c74f4b6f-e33f-4c80-84ac-826345d4fc65	1.0	PubMed	18614808	p27 Kip1 degradation by ubiquitin mediated proteolysis is complex (reviewed in Ref.	bp(GO:"GO:0006508")	directlyDecreases	act(p(HGNC:CDKN1B))
14a0324b-8ae9-4ef2-ad72-b709acf58516	1.0	PubMed	19106611	XREF_BIBR Similarly, Dutta and colleagues have shown that a ' replication licensing checkpoint ' due to ORC-deficiency elicits p21 and p27 induction and inhibits G 1 / S progression.	bp(GO:"GO:0051318")	directlyIncreases	act(p(HGNC:CDKN1B))
7095b31b-13b6-44e8-9e77-60d902548b3f	1.0	PubMed	23913442	This suggests that the G 1 / S delay caused by MCC increases p27 expression.	bp(GO:"GO:0051318")	directlyIncreases	p(HGNC:CDKN1B)
6604ef39-517e-4884-9de0-03db96252fb1	1.0	PubMed	22850551	XREF_BIBR showed in a cell line model that attenuation of MET activity leads to sensitisation to trastuzumab, whereas MET activation protects cells from the growth inhibitory effects of trastuzumab by preventing trastuzumab induced p27 induction.	bp(MESH:D000068878)	directlyDecreases	act(p(HGNC:CDKN1B))
6b977751-eb44-4f06-a6ae-7a6d1d35168b	1.0	PubMed	19946741	Gefitinib, trastuzumab, and their combination increased the stability of p27 (kip1), with the combination showing the highest effects.	bp(MESH:D000068878)	directlyIncreases	act(p(HGNC:CDKN1B))
de7886d4-a821-41d9-a73f-079313bacd5f	1.0	PubMed	25605021	As shown in Figure XREF_FIG, cetuximab, trastuzumab and lapatinib treatment induced TXNIP and p27 expression in BT474 and SK-BR-3 cells at varying levels with lapatinib causing the most significantly upregulation of TXNIP and p27 expression.	bp(MESH:D000068878)	directlyIncreases	p(HGNC:CDKN1B)
53f71177-7269-4428-9440-a2f37379598b	1.0	PubMed	15611642	By inhibiting CDK2 and decreasing Thr187 phosphorylation of p27Kip1, trastuzumab abrogates targeting of SCF-ubiquitin E3 ligase and minimizes proteasome degradation of p27Kip1.	bp(MESH:D000068878)	directlyIncreases	p(HGNC:CDKN1B, pmod(Ph, Thr, 187))
6f5d42d7-9b98-428f-b03b-2e88067aa393	1.0	PubMed	22120631	For example, p27 accumulation caused by H/R can inhibit cell cycle progression and DNA synthesis.	bp(MESH:D015687)	directlyIncreases	act(p(HGNC:CDKN1B))
3e564e46-e1aa-4b7a-abd6-7053ee467dbe	1.0	PubMed	25624750	ALSinduces G 2 / M arrest, downregulates cyclin B1 and CDC2, and upregulates p27 Kip1 and p53 in SKOV3 and OVCAR4 cells.	bp(MESH:D016195)	directlyIncreases	act(p(HGNC:CDKN1B))
1916ca4b-86d7-41a3-8ffa-c1bf985f1d63	1.0	PubMed	23567263	In turn, upregulation of p27 and its nuclear location could favour the inhibition of CDK2 and cyclin E complex activity, directly reducing p27 Thr187 phosphorylation.The ablation of AKT1 did not modify the level of p27, although it did decrease those of Skp2 and of p27 Thr187 phosphorylation.	complex(p(FPLX:"Cyclin_E"), p(HGNC:CDK2))	directlyDecreases	act(p(HGNC:CDKN1B))
217407fe-ae49-4366-858d-636965888fb8	1.0	PubMed	22970236	The phosphorylation of this protein on T187 by cyclin E and CDK2 complex targets p27Kip1 for ubiquitin dependent proteolysis XREF_BIBR - XREF_BIBR.	complex(p(FPLX:"Cyclin_E"), p(HGNC:CDK2))	directlyIncreases	act(p(HGNC:CDKN1B))
f80288c1-1178-4b34-b72b-303543185990	1.0	PubMed	6383505	Cyclin D1 formed complexes primarily with cyclin dependent kinase 4 (cdk4), which were markedly activated in the regenerating liver and readily sequestered the cell cycle inhibitory proteins, p21 and p27.	complex(p(FPLX:Cyclin), p(HGNC:CDK4))	directlyDecreases	act(p(HGNC:CDKN1B))
