INDRA UUID	Confidence	PMID	Evidence	Subject	Predicate	Object
25e3ded8-8930-4802-8a46-36e17bfe4760	1.0	PMC4705463	c-Abl phosphorylates and activates PKCdelta in vitro.	p(HGNC:ABL1)	directlyIncreases	act(p(HGNC:PRKCD))
b17b0698-ec01-42f6-b02c-7bd4c090d472	1.0	19213940	PKCdelta is activated by strong agonists such as thrombin and collagen, but not by ADP XREF_BIBR.	a(CHEBI:16761)	directlyIncreases	act(p(HGNC:PRKCD))
08152846-77e8-4dc8-bac8-e089b1ff8598	1.0	12943720	A similar pattern of PKCdelta translocation into the nucleus has been observed in hepatocytes treated with angiotensin II and PMA, and in cortical astrocytes stimulated by vasoactive intestinal peptide and CHO cells by PMA.	p(HGNC:AGT)	directlyIncreases	act(p(HGNC:PRKCD))
1dcc85ba-d9c1-43b5-8570-5d53ebbaf742	1.0	25247763	Of note, the amino acid sequence adjacent to Ser204 phosphorylation site matches the minimal AKT substrate motif (RxxpS) suggesting that AKT1 could potentially directly regulate PRKCD through phosphorylation.	p(HGNC:AKT1)	directlyIncreases	act(p(HGNC:PRKCD))
b6c19346-9372-43bd-8888-56f444c2de5a	1.0	21966511	We also detected a diminished level of phosphorylated ERK-1/2 in K ANGPTL4, which has been shown to down-regulate PKCdelta XREF_BIBR.	p(HGNC:ANGPTL4)	directlyIncreases	act(p(HGNC:PRKCD))
5abcbb5c-884e-4066-b652-f45e50dc1b99	1.0	23520519	In order to investigate whether the expression of normal APC is necessary to produce the PKCdelta inhibition effect, we made use of the colon carcinoma cell line HCT116.	p(HGNC:APC)	directlyIncreases	act(p(HGNC:PRKCD))
1ceeb67d-b458-4bac-b8ff-674e6ba2373d	1.0	23386686	As a result, AR may bypass WNT7B and upregulate PKCalpha and PKCdelta directly in the presence of androgen, leading to functional compensation.	p(HGNC:AR)	directlyIncreases	act(p(HGNC:PRKCD))
3068f954-9b22-45cf-bcfb-64544f4c4d5e	1.0	22356114	In past work we had also shown that ATRA induces the association of PKCdelta with RARalpha and PKCdelta activity, which is required for RARE driven transcription (XREF_BIBR).	a(CHEBI:15367)	directlyIncreases	act(p(HGNC:PRKCD))
931e19c2-baa1-4ed8-a0a1-d3a9fe865b62	1.0	20548952	Treatment of SCA10 fibroblasts with ATXN10 siRNA substantially restored normal PKCdelta subcellular localization, with decreased amount in mitochondria (XREF_FIG; top panel).	p(HGNC:ATXN10)	directlyIncreases	act(p(HGNC:PRKCD))
a21a6319-5355-4683-ac3f-80d1b80a119c	1.0	22265677	To this end, we immunoprecipitated Bcl10 from zymosan stimulated WT and Prkcd -/- cells and studied its association with Card9 by protein immunoblot.	p(HGNC:BCL10)	directlyIncreases	act(p(HGNC:PRKCD))
